,Date,CRWD,DDOG,SNOW,SOFI,UPST,^GSPC
75,2018-03-22,0.0,0.0,0.0,0.0,0.0,2643.68994140625
76,2018-03-23,0.0,0.0,0.0,0.0,0.0,2588.260009765625
77,2018-03-26,0.0,0.0,0.0,0.0,0.0,2658.550048828125
78,2018-03-27,0.0,0.0,0.0,0.0,0.0,2612.6201171875
79,2018-03-28,0.0,0.0,0.0,0.0,0.0,2605.0
80,2018-03-29,0.0,0.0,0.0,0.0,0.0,2640.8701171875
81,2018-04-02,0.0,0.0,0.0,0.0,0.0,2581.8798828125
82,2018-04-03,0.0,0.0,0.0,0.0,0.0,2614.449951171875
83,2018-04-04,0.0,0.0,0.0,0.0,0.0,2644.68994140625
84,2018-04-05,0.0,0.0,0.0,0.0,0.0,2662.840087890625
85,2018-04-06,0.0,0.0,0.0,0.0,0.0,2604.469970703125
86,2018-04-09,0.0,0.0,0.0,0.0,0.0,2613.159912109375
87,2018-04-10,0.0,0.0,0.0,0.0,0.0,2656.8701171875
88,2018-04-11,0.0,0.0,0.0,0.0,0.0,2642.18994140625
89,2018-04-12,0.0,0.0,0.0,0.0,0.0,2663.989990234375
90,2018-04-13,0.0,0.0,0.0,0.0,0.0,2656.300048828125
91,2018-04-16,0.0,0.0,0.0,0.0,0.0,2677.840087890625
92,2018-04-17,0.0,0.0,0.0,0.0,0.0,2706.389892578125
93,2018-04-18,0.0,0.0,0.0,0.0,0.0,2708.639892578125
94,2018-04-19,0.0,0.0,0.0,0.0,0.0,2693.1298828125
95,2018-04-20,0.0,0.0,0.0,0.0,0.0,2670.139892578125
96,2018-04-23,0.0,0.0,0.0,0.0,0.0,2670.2900390625
97,2018-04-24,0.0,0.0,0.0,0.0,0.0,2634.56005859375
98,2018-04-25,0.0,0.0,0.0,0.0,0.0,2639.39990234375
99,2018-04-26,0.0,0.0,0.0,0.0,0.0,2666.93994140625
100,2018-04-27,0.0,0.0,0.0,0.0,0.0,2669.909912109375
101,2018-04-30,0.0,0.0,0.0,0.0,0.0,2648.050048828125
102,2018-05-01,0.0,0.0,0.0,0.0,0.0,2654.800048828125
103,2018-05-02,0.0,0.0,0.0,0.0,0.0,2635.669921875
104,2018-05-03,0.0,0.0,0.0,0.0,0.0,2629.72998046875
105,2018-05-04,0.0,0.0,0.0,0.0,0.0,2663.419921875
106,2018-05-07,0.0,0.0,0.0,0.0,0.0,2672.6298828125
107,2018-05-08,0.0,0.0,0.0,0.0,0.0,2671.919921875
108,2018-05-09,0.0,0.0,0.0,0.0,0.0,2697.7900390625
109,2018-05-10,0.0,0.0,0.0,0.0,0.0,2723.070068359375
