,Date,BTC-CAD,CEL-CAD,ETH-CAD,IOTX-CAD
0,2019-09-18,13561.0185546875,0.0880339965224266,281.0977783203125,0.00609199982136488
1,2019-09-19,13611.212890625,0.08999300003051758,293.3741760253906,0.006318000145256519
2,2019-09-20,13504.4912109375,0.09318699687719345,289.21221923828125,0.0062409997917711735
3,2019-09-21,13289.7216796875,0.08731500059366226,285.8514404296875,0.006006999872624874
4,2019-09-22,13362.6953125,0.09235899895429611,280.7057189941406,0.0059899999760091305
5,2019-09-23,12903.61328125,0.09067899733781815,267.8001708984375,0.005760000087320805
6,2019-09-24,11414.6640625,0.07272999733686447,222.59878540039062,0.004796000197529793
7,2019-09-25,11252.607421875,0.08202099800109863,226.5806427001953,0.004801999777555466
8,2019-09-26,10774.2763671875,0.07830300182104111,221.25523376464844,0.004796000197529793
9,2019-09-27,10927.646484375,0.07998999953269958,231.36399841308594,0.004801000002771616
10,2019-09-28,10918.4990234375,0.08231300115585327,231.15371704101562,0.00482999999076128
11,2019-09-29,10727.6728515625,0.07935100048780441,225.69886779785156,0.00470300018787384
12,2019-09-30,10983.7353515625,0.07697399705648422,238.20835876464844,0.004722000099718571
13,2019-10-01,11028.66015625,0.0797789990901947,234.4195556640625,0.0047519998624920845
14,2019-10-02,11187.294921875,0.08144800364971161,240.87355041503906,0.004871000070124865
15,2019-10-03,11016.5166015625,0.07967700064182281,233.6668701171875,0.00482999999076128
16,2019-10-04,10920.4306640625,0.07730700075626373,235.53094482421875,0.004989000037312508
17,2019-10-05,10854.66015625,0.08213800191879272,234.83233642578125,0.004883000161498785
18,2019-10-06,10629.6796875,0.07797399908304214,230.28634643554688,0.006308000069111586
19,2019-10-07,10969.423828125,0.07904800027608871,241.0381622314453,0.007896999828517437
20,2019-10-08,10963.619140625,0.07812999933958054,242.5164337158203,0.007821000181138515
21,2019-10-09,11465.6513671875,0.08755599707365036,257.8292236328125,0.008345999754965305
22,2019-10-10,11409.8173828125,0.0860690027475357,254.67987060546875,0.00785600021481514
23,2019-10-11,10985.16796875,0.08266399800777435,241.00184631347656,0.008425000123679638
24,2019-10-12,11008.404296875,0.08233000338077545,238.78121948242188,0.007918000221252441
25,2019-10-13,10985.474609375,0.08215899765491486,240.37744140625,0.00795000046491623
26,2019-10-14,11076.603515625,0.08184099942445755,247.27992248535156,0.007819999940693378
27,2019-10-15,10835.0341796875,0.07788299769163132,239.5432586669922,0.007170000113546848
28,2019-10-16,10625.7939453125,0.07588899880647659,232.40472412109375,0.006140000186860561
29,2019-10-17,10645.5087890625,0.07673999667167664,233.8626708984375,0.005900000222027302
30,2019-10-18,10466.0302734375,0.07457000017166138,227.904052734375,0.005766000133007765
31,2019-10-19,10486.18359375,0.07477500289678574,226.9742889404297,0.005524999927729368
32,2019-10-20,10798.75390625,0.0772470012307167,230.54421997070312,0.006213000044226646
33,2019-10-21,10789.3740234375,0.07566799968481064,228.93641662597656,0.005710999947041273
34,2019-10-22,10577.720703125,0.07128699868917465,225.6133270263672,0.00573199987411499
35,2019-10-23,9825.0576171875,0.06751199811697006,212.33352661132812,0.00533400010317564
36,2019-10-24,9795.86328125,0.06721200048923492,211.9948272705078,0.005363999865949154
37,2019-10-25,11310.35546875,0.07428400218486786,237.0584259033203,0.005475000012665987
38,2019-10-26,12074.3955078125,0.0734189972281456,234.87413024902344,0.005169000010937452
39,2019-10-27,12478.580078125,0.06942299753427505,240.69825744628906,0.0057749999687075615
40,2019-10-28,12084.3642578125,0.06848499923944473,238.47544860839844,0.005495000164955854
41,2019-10-29,12342.578125,0.0700870007276535,249.19346618652344,0.005553999915719032
42,2019-10-30,12119.798828125,0.06790100038051605,243.15646362304688,0.005572000052779913
43,2019-10-31,12113.8388671875,0.06833600252866745,242.244140625,0.005696000065654516
44,2019-11-01,12185.2978515625,0.06530299782752991,242.0583953857422,0.005607000086456537
45,2019-11-02,12269.3701171875,0.06478700041770935,242.0076141357422,0.005942000076174736
46,2019-11-03,12135.8193359375,0.06032700091600418,239.7176055908203,0.005594999995082617
47,2019-11-04,12379.9375,0.06109499931335449,245.10366821289062,0.0056940000504255295
48,2019-11-05,12289.0478515625,0.06364800035953522,249.00843811035156,0.00596599979326129
49,2019-11-06,12344.248046875,0.067781001329422,252.65594482421875,0.007375999819487333
50,2019-11-07,12209.150390625,0.06631200015544891,247.64161682128906,0.006730999797582626
51,2019-11-08,11646.65625,0.06344400346279144,243.6657257080078,0.0061889998614788055
52,2019-11-09,11658.166015625,0.06490299850702286,244.74673461914062,0.006004000082612038
53,2019-11-10,11977.5634765625,0.06715700030326843,250.6177978515625,0.0061519998125731945
54,2019-11-11,11592.044921875,0.0640529990196228,245.51910400390625,0.005787000060081482
55,2019-11-12,11669.4072265625,0.06555499881505966,247.32705688476562,0.005770999938249588
56,2019-11-13,11673.326171875,0.06511600315570831,249.49366760253906,0.006539999973028898
57,2019-11-14,11538.41796875,0.06327400356531143,246.45361328125,0.006438000127673149
58,2019-11-15,11227.6875,0.06193799898028374,238.67608642578125,0.006393000017851591
59,2019-11-16,11305.3876953125,0.06209700182080269,242.41403198242188,0.006455000024288893
60,2019-11-17,11343.078125,0.06279800087213516,244.792236328125,0.006473999936133623
61,2019-11-18,10974.439453125,0.060256000608205795,238.4730224609375,0.005932999774813652
62,2019-11-19,10891.607421875,0.05704699829220772,235.5278778076172,0.0059009999968111515
63,2019-11-20,10679.6787109375,0.0552930012345314,233.7534637451172,0.0056859999895095825
64,2019-11-21,10149.2890625,0.05358000099658966,214.41651916503906,0.005144000053405762
